boy,age,height
1,8,47.8
2,8,46.4
3,8,46.3
4,8,45.1
5,8,47.6
6,8,52.5
7,8,51.2
8,8,49.8
9,8,48.1
10,8,45
11,8,51.2
12,8,48.5
13,8,52.1
14,8,48.2
15,8,49.6
16,8,50.7
17,8,47.2
18,8,53.3
19,8,46.2
20,8,46.3
1,8.5,48.8
2,8.5,47.3
3,8.5,46.8
4,8.5,45.3
5,8.5,48.5
6,8.5,53.2
7,8.5,53
8,8.5,50
9,8.5,50.8
10,8.5,47
11,8.5,51.4
12,8.5,49.2
13,8.5,52.8
14,8.5,48.9
15,8.5,50.4
16,8.5,51.7
17,8.5,47.7
18,8.5,54.6
19,8.5,47.5
20,8.5,47.6
1,9,49
2,9,47.7
3,9,47.8
4,9,46.1
5,9,48.9
6,9,53.3
7,9,54.3
8,9,50.3
9,9,52.3
10,9,47.3
11,9,51.6
12,9,53
13,9,53.7
14,9,49.3
15,9,51.2
16,9,52.7
17,9,48.4
18,9,55.1
19,9,48.1
20,9,51.3
1,9.5,49.7
2,9.5,48.4
3,9.5,48.5
4,9.5,47.2
5,9.5,49.3
6,9.5,53.7
7,9.5,54.5
8,9.5,52.7
9,9.5,54.4
10,9.5,48.3
11,9.5,51.9
12,9.5,55.5
13,9.5,55
14,9.5,49.8
15,9.5,51.8
16,9.5,53.3
17,9.5,49.5
18,9.5,55.3
19,9.5,48.4
20,9.5,51.8
