"D36TFL5","D36TFL12","D36TFL18","currstat","PWTYCRD","AGE","ACCOMP","B14CODE","B15CODE","B17CODE","AGE_ENT","D12WG1","D12WG2","D12WG3","D12WG4","BLWAGE","C09WEEKS","AYUDAPUB","CROP","D50MTCOD","D51MTCOD","D38BFMT","Birth_State","AGEFRSTFW","ChildOtherIndg","ChildOtherNOIndg","AdultOtherIndg","AdultOtherNOIndg","CROWDED1","CROWDED2","ABWEEKS","EMPLOYED","D04","D05","D06","D07","D08","D13","D20","D21A","D21B","D21C","D21D","D21F","D22","D23","D26","D27","D28","D29A","D29B","D29C","D29D","D29E","D29F","D33A","D35","D37","D38","D39A","E04","E02","A05","A07","A10","A09","B03A","B03B","B03D","B03E","B03F","B03J","B07","B08","B01","A08","B10","B11","B12","B16","B17","B18","D02","D03","D01","D11","D21E","D24","D36A1","D36A11","D36A12","D37A","D38A","E01","A15","A15A","A15B","A15C","A16A","A16B","A16C","A17A","A17B","A17C","A18A","A18B","A18C","B02","B03C","B03G","B03H","B03I","B04A","B04D","B04F","B04J","B04K","B04L","B04N","B13","A11","C10","D61","D62","D63","D50","D52","D30","D36A13","D36A14","A20A","A20B","A20C","A21a","A21b","A21cX","A22cx","A23a1","A23a2","A23a3","A23a4","A23a5","A23a6","A23b1","A23b2","A23b3","A23b4","A23b5","A23b6","A23c1","A23c2","A23c3","A23c4","A23c5","A23c6","D34a","A21c2","A23a7","A24a","A24b","B20a","B20b","B20c","B20d","B20e","B20f","B20z","B21a","B21b","B21c","B21d","B21e","B21f","B21z","B22b","B22c","B22d","B22e","B22f","B22z","B23b","B23c","B23d","B23e","B23f","B23z","B24","B26a","B26b","B27a","B27b","D54a","D54b","D54c","D54f","D21G","A08month","C12Border","FY","ANYNMS","FWID"
NA,NA,NA,1,2.87254755651382,41,1,NA,NA,NA,NA,18,NA,NA,NA,0,1,0,4,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,45,790,850,2,45,NA,0,NA,NA,NA,NA,NA,1,1,1,20,FALSE,NA,NA,NA,NA,NA,NA,11,TRUE,1,NA,6,TRUE,TRUE,2,1,1,14,0,0,0,0,0,1,4,4,7,NA,1985,20,TRUE,NA,NA,NA,40,750,TRUE,1,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,4,TRUE,FALSE,NA,NA,NA,TRUE,TRUE,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA,TRUE,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,FALSE,2014,FALSE,20140001
NA,NA,NA,4,0.549893786514207,32,1,NA,NA,TRUE,17,9,NA,NA,NA,0,1.57142857142857,1,2,TRUE,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,36,300,330,2,36,NA,0,NA,NA,NA,NA,NA,7,7,0,1,TRUE,NA,NA,NA,NA,NA,NA,12,TRUE,1,NA,3,FALSE,TRUE,2,3,3,6,0,0,0,0,0,0,1,1,2,1999,1999,16,FALSE,TRUE,TRUE,TRUE,NA,NA,TRUE,1,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,8,FALSE,TRUE,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,2014,FALSE,20140002
NA,NA,NA,4,0.190258481523357,55,0,NA,NA,TRUE,45,NA,16.6666666666667,NA,NA,0,6.57142857142857,1,2,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,45,540,600,2,45,1,0,NA,NA,NA,NA,NA,1,0,0,2,TRUE,NA,NA,NA,NA,NA,NA,97,TRUE,4,1,3,FALSE,TRUE,1,4,4,6,0,0,1,0,0,0,2,2,4,2004,2004,10,FALSE,TRUE,TRUE,TRUE,NA,NA,TRUE,2,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,TRUE,NA,NA,TRUE,NA,NA,7,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,TRUE,8,NA,NA,FALSE,NA,NA,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,FALSE,2014,FALSE,20140003
NA,NA,NA,4,0.120795101641551,35,1,NA,NA,TRUE,17,8.75,NA,NA,NA,0,3.42857142857143,1,3,TRUE,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,30,222,262.5,3,30,NA,0,NA,NA,NA,NA,NA,1,1,0,2,TRUE,0,0,1,0,FALSE,FALSE,12,TRUE,8,2,3,TRUE,TRUE,2,3,3,7,1,0,0,0,0,0,2,1,2,1996,1999,NA,FALSE,TRUE,TRUE,TRUE,NA,NA,TRUE,1,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,1,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,FALSE,2014,FALSE,20140004
NA,NA,NA,1,0.722828891909243,54,1,NA,NA,NA,NA,NA,NA,NA,12.5,0,0.714285714285714,0,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,50,500,NA,2,50,NA,1,0,1,0,0,0,7,7,1,2,FALSE,NA,NA,NA,NA,NA,NA,11,TRUE,1,NA,3,FALSE,TRUE,3,1,1,12,0,0,0,0,0,0,4,4,1,NA,1978,35,TRUE,NA,NA,NA,40,500,TRUE,4,FALSE,FALSE,NA,NA,NA,TRUE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,1,TRUE,NA,TRUE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,2014,TRUE,20140005
NA,NA,NA,4,1.29867864232777,50,0,NA,NA,TRUE,31,11.5,NA,NA,NA,0,0.428571428571429,0,4,FALSE,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,50,534,591,2,50,NA,1,1,0,0,0,0,1,1,0,15,TRUE,0,0,0,0,TRUE,FALSE,3,TRUE,2,NA,3,FALSE,TRUE,2,3,3,4,0,0,0,0,0,0,2,2,2,1994,1994,20,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,1,FALSE,FALSE,NA,NA,NA,TRUE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,7,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,NA,NA,FALSE,NA,NA,TRUE,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,2014,FALSE,20140006
NA,NA,NA,4,0.188185482843307,26,0,NA,NA,TRUE,19,12,NA,NA,NA,0,127.428571428571,0,3,TRUE,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,40,380,480,2,40,NA,0,NA,NA,NA,NA,NA,1,7,0,3,FALSE,NA,NA,NA,NA,NA,NA,12,TRUE,4,2,3,FALSE,TRUE,1,4,NA,0,0,0,0,0,0,0,1,1,4,2007,2007,6,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,1,NA,TRUE,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,TRUE,NA,NA,FALSE,NA,NA,7,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,8,NA,NA,FALSE,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,2014,FALSE,20140007
NA,NA,NA,4,0.0863468676637482,25,0,NA,NA,TRUE,18,10,NA,NA,NA,0,26.1428571428571,0,2,TRUE,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,45,400.08,450,2,45,NA,1,0,0,0,1,0,1,1,0,3,FALSE,NA,NA,NA,NA,NA,NA,12,TRUE,1,NA,3,TRUE,TRUE,1,3,3,12,1,0,0,0,0,0,2,1,2,2007,2007,8,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,1,FALSE,FALSE,NA,NA,NA,TRUE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,NA,FALSE,NA,NA,1,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,2014,FALSE,20140008
NA,NA,NA,2,0.377483107859763,30,1,NA,NA,TRUE,18,9,NA,NA,NA,0,2.28571428571429,1,2,TRUE,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,50,400,450,2,50,NA,0,NA,NA,NA,NA,NA,1,1,1,8,FALSE,NA,NA,NA,NA,NA,NA,3,TRUE,1,NA,3,TRUE,TRUE,2,3,3,6,0,0,0,0,0,0,1,1,2,2002,2002,13,FALSE,TRUE,TRUE,TRUE,NA,NA,TRUE,1,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,NA,FALSE,TRUE,NA,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,8,TRUE,TRUE,TRUE,TRUE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,FALSE,2014,FALSE,20140009
NA,NA,NA,2,1.11352098763661,39,1,NA,NA,TRUE,21,9.77999973297119,NA,NA,NA,0,0.571428571428571,1,4,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,NA,480,580,2,59,NA,1,1,0,0,0,0,1,1,7,14,FALSE,NA,NA,NA,NA,NA,NA,11,TRUE,1,NA,3,TRUE,TRUE,2,3,3,8,0,0,0,0,0,0,3,3,2,1995,1995,16,FALSE,TRUE,TRUE,TRUE,NA,NA,TRUE,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,8,TRUE,TRUE,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2014,FALSE,20140010
