High1 High2 High3 High4 Low1 Low2 Low3 Low4
1007_s_at 9.93891222622256 9.86995039456885 9.90355884973697 9.74057971523968 11.3885347329673 11.2076905094559 11.3141195944891 11.350835497365
1053_at 9.31336237619663 9.3285108823791 9.32485476772739 9.7603806394436 9.18982309426086 9.08547682936321 9.17539491755806 9.17808878519465
117_at 6.45723649991082 6.47506970464749 6.42371089678741 5.67763026562863 5.81864624360134 5.80425202796261 5.64719311812517 5.51552878350985
121_at 7.32753055103894 7.13604230557083 7.16590149687778 7.34272158979346 7.27958991306416 7.2342763503774 7.43042687007347 7.37494592361178
1294_at 5.44514958145049 5.37118384241827 5.63256070943966 5.4010767523255 5.48749175429767 5.55735172471547 5.50183003096566 5.42857422961898
1316_at 4.01354654558315 3.89349089690126 4.15873078794088 4.05970084923876 3.92213635523915 4.04056687505951 4.07738033916012 4.04320435949947
1431_at 3.96033703383266 3.76523868320486 3.80095609208384 3.52416384614932 3.59985345258847 3.57738743336705 3.53770995606145 3.50265068432903
1438_at 6.43177695643895 6.4982243815727 6.48086664244133 6.40471214471058 6.19556134228099 6.15647994455983 6.24597293390177 6.1430022733059
1487_at 7.66437984719861 7.62775755717893 7.80587053995997 8.42384667127058 8.80251736741042 8.83638641176342 8.75883972014102 8.72333063961819
1552256_a_at 8.49221876162877 8.46056340334529 8.46051549665656 8.22464368048626 8.32510006558168 8.36226182805691 8.34786158891066 8.32422378767615
1552257_a_at 9.24531019999651 9.15417039005529 9.1634610784409 9.66669682993609 8.9318282517227 8.96297969102447 8.80179734929664 8.81268680674336
1552263_at 6.34862455315844 6.37415836085894 6.39536035129754 7.03924796248923 5.66684705865841 5.85127667692884 5.21706313943539 5.20071381439031
1552264_a_at 9.17520304338953 9.14036540166154 9.14339311915012 9.2154143784837 8.2078601991143 8.22460872727715 8.14640271993409 8.05316549399003
1552269_at 3.64518269240076 3.36273979243274 3.71652060641744 5.02772337192239 4.37768438032669 4.57687604362401 4.09479263658605 4.01387539864991
1552272_a_at 5.34780562406791 5.35217940721578 5.47630219267777 5.37786783534894 4.90877709925213 4.63902378278905 5.46810498401486 5.46544850594951
1552274_at 8.16770307067619 8.27529617053954 8.05994329903224 7.13192715995034 6.68115613706607 6.86378667580178 6.47766352895926 6.35083573913348
1552275_s_at 8.85124819192746 8.65374866634872 8.85204006035295 8.01933105774922 7.00918049761149 7.29866371035925 6.77715104941105 6.68267413724136
1552277_a_at 10.1456524789613 10.0302397485223 10.135569762048 9.95890999508117 8.64467755440403 8.52502258040644 8.42429892860101 8.27601876326716
1552279_a_at 6.6629387838064 6.62040660683061 6.8177358267004 7.3112088896874 7.10141089315571 7.10789464328817 7.04836008301163 6.95769842706587
1552283_s_at 3.37421660418274 3.383898363918 3.53450616397182 3.78372116668596 3.52407259359429 3.47875551870565 3.59503453322085 3.53566317382364
1552286_at 6.49742606797198 6.19949816798512 6.44947610186278 6.15137082946906 5.69815743039773 6.18109594320701 6.05774119348458 5.9517184490232
1552287_s_at 7.39700569680692 7.1918628426733 7.30112442892984 7.52726343127461 7.00162164549395 6.80835768444982 6.61622877596712 6.4897540135559
1552288_at 6.34450594309538 6.63962426918304 6.64464786763588 4.55144214418501 5.62925053224033 5.13137371395658 5.47927108516494 5.33090015857806
1552289_a_at 7.58006966648423 7.2925585074795 7.80975093163859 5.74312880447243 6.88949417827633 6.86051266562853 6.62068298296938 6.51006825920364
1552291_at 7.21293407217865 7.30946098253863 7.52465686942595 7.47845548476999 7.02107582848645 7.08757900106881 6.68879840179702 6.73535641723122
1552295_a_at 7.38848189099143 7.26790230184424 7.46143154180122 6.74209489598554 7.01116180276382 7.18623498743598 7.16296270606532 7.08250316273841
1552299_at 3.64653255779637 4.06073655005371 3.68421902074179 4.52403254826288 4.74652371505363 4.53496385477479 4.66929627571234 4.53524333333726
1552301_a_at 5.84952710235317 5.72437978720184 5.90526833502399 5.76259871440201 5.55531167225621 5.74132927263933 5.87832795466357 5.77991683302584
1552302_at 2.99873653252423 2.92287776789689 2.72502689633233 2.88235508648073 2.85249580616946 2.87186787364229 2.97059456259683 2.95424523755175
1552304_at 4.8811267556895 4.7478267040485 4.76941893754418 5.41582565211911 4.29252943895971 4.670830784602 4.57381870498255 4.48739708079962
1552306_at 6.01123213451821 6.37740294200401 5.97005121793404 6.8066907268422 5.00575658212307 5.07562073121106 4.76066318602906 4.67133510869559
1552309_a_at 8.22254500762856 8.23674045622758 8.21995099712199 5.87600042154315 3.20076082619036 4.00078028139385 4.03207691692693 4.02898087211889
1552310_at 8.52215887335891 8.46650629566842 8.46458804990553 8.53569090088188 8.16067175124692 8.1676219249708 8.0781195652075 7.97736992914098
1552312_a_at 8.5617220965489 8.49002833715025 8.35909360270584 7.90256085037743 7.63244582196101 7.67876780875378 7.44640619453845 7.28037086231402
1552314_a_at 5.24217769732255 5.29022538798299 5.22084588948379 5.70918741749753 5.72308163316162 5.75134349041018 5.45022769302506 5.37396619569738
1552322_at 3.08841016470621 2.99103214338295 3.16277338411511 3.16277338411511 3.16277338411511 3.16880400497186 3.16880400497186 3.16477055888994
1552323_s_at 5.49822881119372 5.54898606484241 5.45918793465909 4.9726055943496 5.4322325446083 5.79666703688027 5.6036572043823 5.52190072204428
1552329_at 6.5175772356526 6.28529396985137 6.27515610633104 6.60202605149153 6.40948153296238 6.6636654902419 6.49293494395397 6.38576143214886
1552330_at 7.7287498025229 7.91722237601827 7.84052184210118 7.64191742847061 7.41284931807244 7.15981229220276 7.02566376199492 6.95825898110647
1552334_at 6.23028573114816 5.72437978720185 5.77759850159213 6.91907513346626 6.28101673496932 5.99994861968178 6.13304077755045 6.01561586192599
1552335_at 6.70506920782431 6.64519877930462 6.67211668802136 7.60824288933348 7.64685551670075 7.86543562824292 7.54266113396627 7.40051155122915
1552344_s_at 8.10551562327007 8.261479795452 8.31285597668596 8.24635491110486 7.18304347418664 7.40402728621962 7.16051383980421 7.00469199504358
1552347_at 6.14036432577704 5.89325846500632 5.98734320033131 7.00543175574115 7.14847529964136 6.99003754579739 7.16209106055328 7.02522848125355
1552360_a_at 5.15537182092097 5.03596689460947 4.94407979968773 5.1250029232644 5.83894884880987 5.59169068811642 5.4883067221639 5.44332819735037
1552362_a_at 5.5121052175294 5.55350799225595 5.88645315820124 5.49141092855485 5.43610029410835 5.49955601378319 5.56414556677451 5.50706327281489
1552364_s_at 7.30481285781992 7.28729896781329 7.20042547177034 7.89993131182223 7.25261006613187 7.53810637540271 7.31120208830271 7.21858129539084
1552365_at 7.81863939660825 7.91724295708171 7.95591599700801 8.09597619164243 9.54534065459089 9.41577846910647 9.36930693185771 9.41174398674213
1552367_a_at 6.37208806987717 6.23623444605955 6.28159782667223 6.64927735519599 7.99279665022845 7.79746005352398 7.90685541517317 7.75651727828922
1552370_at 7.07586883258675 6.8454861003509 6.87350360649488 7.53278502005571 8.24036554804175 8.27085195973501 7.8589765383902 7.78912627534071
1552375_at 3.88198486354785 3.8167161838344 4.1133719051915 3.32147611264275 3.91105410338822 3.83155106764273 3.65753389575396 3.65068854829787
1552377_s_at 6.331280410497 6.58702181130936 6.19405243894046 6.06296402629413 6.03347410463454 6.07783469444864 6.01296306895531 5.91803748488599
1552378_s_at 5.91083785004959 6.04344067473016 5.68408426196779 5.725704654711 5.74008980752002 5.80349466180935 5.8168418441501 5.73802532679174
1552381_at 3.2576367817381 3.51161315576015 3.23191648829623 3.15556924996815 2.79962901443484 2.87278840200641 3.31592583182673 3.24748387651498
1552399_a_at 5.9771466372958 5.83176760087645 5.775185352775 5.75514223160769 5.37281366860826 4.48403109016006 4.8699654534944 4.82376215300613
1552417_a_at 7.45197936270165 7.40189558613619 7.44029422829404 7.74049115391188 7.5967335231612 7.32188851801083 7.34920639313721 7.33120193551711
1552423_at 4.56470606976417 4.50361857353696 4.80619010517161 4.2981263812105 4.5268311168224 4.4064988149409 4.58507767549809 4.58507767549809
1552426_a_at 9.36722326935769 9.40499486976556 9.39509846804153 9.20938579475136 9.40248884128907 9.29515989089095 9.35208170496638 9.37440335852452
1552427_at 4.69144590118661 4.7867465123759 4.62603776986778 5.43844196962343 4.53464169939951 4.77872477955043 4.8138582511076 4.82008239256549
1552430_at 3.2699853414583 3.39161364740467 3.2699853414583 4.62493221991242 3.98680628347188 4.0891176215621 3.91433737602984 3.90415350979044
1552470_a_at 4.58189193863535 4.77032448706272 4.50296125050333 5.39113311486683 6.53528578816118 6.81261762645587 6.51836726044567 6.35842057444211
1552472_a_at 8.16431059582339 8.19523128679266 8.16088401533599 8.15585331532358 7.70447290767969 8.00038593871767 7.82346851904816 7.84329342151816
1552474_a_at 7.94621016330934 8.01161763359163 8.02004173347285 8.00526181700863 7.7158587821347 7.6522424916258 7.66719269879226 7.49750746080546
1552477_a_at 5.49647257065065 5.3837725793286 5.71076088334745 5.9945801053047 8.56983338920843 8.42938225051121 8.33509221084934 8.37968505716194
1552478_a_at 3.60113183637159 4.20808845073899 3.66103501786287 3.99647199595846 6.22480091969937 6.59010151524016 6.40068720458662 6.31173707942726
1552481_s_at 5.93873473918228 5.81697800225371 6.05981362744515 5.63113177259629 5.11199087389421 5.34154948982633 5.12139290987024 5.03596930727443
1552485_at 7.99324638408772 7.93646592734302 7.8921995528578 7.77884648917293 7.25608523250638 7.65455904094553 7.42857046953842 7.26533966315323
1552486_s_at 7.02152511413422 7.10054253490627 7.00097285341108 6.56014581461395 6.57332820476657 6.77075660068455 6.45700450303264 6.35149106500774
1552490_at 3.25734721619477 3.42345761968496 3.10677953980604 3.60315348437827 3.42511424215448 3.04741238615059 3.19026616209718 3.14655660578765
1552496_a_at 3.17193304802666 3.37328957368983 3.17747742712715 6.79532605716933 6.4982786431983 6.27582127467382 6.39948544329645 6.28360858729754
1552499_a_at 4.72937416402041 4.27997666173812 4.19660293337444 4.90015081422119 4.37080870167763 4.55650148004058 4.34858838736007 4.26852692158314
1552514_at 4.27800566543394 4.36317726021269 3.92017490546484 3.57627760799172 3.38446252229531 3.66731503382674 3.94175735857245 3.88962517877893
1552516_a_at 6.70488109644882 6.96500230626716 6.83058942645096 6.78207413907235 6.99711316816722 7.04172717323286 7.03737657809863 6.92170922642381
