#column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	outliers	A_Count	C_Count	G_Count	T_Count	N_Count	other_bases	other_base_count
1	3614610	2	33	113732847	31.464763	33.000000	33.000000	33.000000	0.000000	33	33	2,4,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	670260	1877729	903145	158171	5305		
2	3614610	2	34	114293473	31.619863	33.000000	33.000000	34.000000	1.000000	32	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	1426604	1010947	444249	730545	2265		
3	3614610	2	34	113169385	31.308878	33.000000	33.000000	33.000000	0.000000	33	33	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34	1188225	877986	667041	879162	2196		
4	3614610	2	34	113623731	31.434576	33.000000	33.000000	33.000000	0.000000	33	33	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34	813065	959180	1305248	534975	2142		
5	3614610	2	34	111459496	30.835829	32.000000	33.000000	33.000000	1.000000	31	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	1434968	694033	536934	941327	7348		
6	3614610	2	34	112447413	31.109141	32.000000	33.000000	33.000000	1.000000	31	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	1586662	867889	413193	744602	2264		
7	3614610	2	34	112217372	31.045499	32.000000	33.000000	33.000000	1.000000	31	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	1327759	710845	763120	810527	2359		
8	3614610	2	34	112345123	31.080842	32.000000	33.000000	33.000000	1.000000	31	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	1356156	628706	739108	888561	2079		
9	3614610	2	34	112368243	31.087238	32.000000	33.000000	33.000000	1.000000	31	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	976802	909867	715750	1009894	2297		
10	3614610	2	34	112378906	31.090188	32.000000	33.000000	33.000000	1.000000	31	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	1021332	900592	616718	1073792	2176		
11	3614610	2	34	111861419	30.947023	32.000000	33.000000	33.000000	1.000000	31	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	1008286	766474	813706	1023823	2321		
12	3614610	2	34	111607698	30.876830	32.000000	33.000000	33.000000	1.000000	31	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	1121115	805043	583988	1102251	2213		
13	3614610	2	34	111624721	30.881539	32.000000	33.000000	33.000000	1.000000	31	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	1154773	638462	575742	1243458	2175		
14	3614610	2	34	111730595	30.910830	32.000000	33.000000	33.000000	1.000000	31	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	1064595	918520	508245	1121035	2215		
15	3614610	2	34	111375921	30.812708	32.000000	33.000000	33.000000	1.000000	31	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	1074287	963694	448862	1125580	2187		
16	3614610	2	34	110488074	30.567080	31.000000	33.000000	33.000000	2.000000	28	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	1403980	785801	539590	883055	2184		
17	3614610	2	34	109843837	30.388849	31.000000	33.000000	33.000000	2.000000	28	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	1375292	915989	606282	714822	2225		
18	3614610	2	34	109501998	30.294277	31.000000	33.000000	33.000000	2.000000	28	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	1115465	895101	640259	961672	2113		
19	3614610	2	34	108138911	29.917173	31.000000	33.000000	33.000000	2.000000	28	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	1123509	877218	723105	869149	21629		
20	3614610	2	34	108642862	30.056593	31.000000	33.000000	33.000000	2.000000	28	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	1107143	922170	648865	934213	2219		
21	3614610	2	34	108846451	30.112917	31.000000	33.000000	33.000000	2.000000	28	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	1069651	874211	698086	970267	2395		
22	3614610	2	34	107933056	29.860222	30.000000	32.000000	33.000000	3.000000	26	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	1111359	825197	765628	910111	2315		
23	3614610	2	34	107782724	29.818632	30.000000	32.000000	33.000000	3.000000	26	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	1089648	792016	773555	957188	2203		
24	3614610	2	34	107322665	29.691354	30.000000	32.000000	33.000000	3.000000	26	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	1173099	924169	602830	911897	2615		
25	3614610	2	34	106749094	29.532673	30.000000	32.000000	33.000000	3.000000	26	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	1054307	816138	674387	1067322	2456		
26	3614610	2	34	105154386	29.091489	30.000000	32.000000	33.000000	3.000000	26	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	1153006	777320	703472	950648	30164		
27	3614610	2	34	105380802	29.154128	30.000000	32.000000	33.000000	3.000000	26	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	1083921	798724	646751	1081999	3215		
28	3614610	2	34	105336047	29.141746	30.000000	32.000000	33.000000	3.000000	26	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	1079019	905582	643824	978082	8103		
29	3614610	2	34	104754327	28.980810	29.000000	32.000000	33.000000	4.000000	23	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	1083881	862818	657900	1006619	3392		
30	3614610	2	34	103612691	28.664971	29.000000	31.000000	33.000000	4.000000	23	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	1186732	881387	674722	868133	3636		
31	3614610	2	34	103034615	28.505043	28.000000	31.000000	33.000000	5.000000	21	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	1102256	805689	772350	930404	3911		
32	3614610	2	34	101910452	28.194038	28.000000	31.000000	33.000000	5.000000	21	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	1100387	886842	684355	927359	15667		
33	3614610	2	34	101147377	27.982930	27.000000	31.000000	33.000000	6.000000	18	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17	1158424	846275	628687	976898	4326		
34	3614610	2	34	100304278	27.749682	27.000000	31.000000	32.000000	5.000000	20	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	1047140	784993	847792	928885	5800		
35	3614610	2	34	97576949	26.995153	26.000000	30.000000	32.000000	6.000000	17	34	2,4,5,6,7,8,9,10,11,12,13,14,15,16	1177812	832001	697257	902593	4947		
36	3614610	2	34	98037678	27.122616	27.000000	31.000000	33.000000	6.000000	18	34	2,17	1029881	864457	766923	943275	10074		
